course_name,institution,course_id,num_reviews,avg_rating
Wind Energy,Technical University of Denmark (DTU),wind-energy,771,4.6
Introduction to Psychology,University of Toronto,introduction-psych,766,4.83
Excel Skills for Business: Intermediate I,Macquarie University,excel-intermediate-1,757,4.75
Introduction to Psychology,Yale University,introduction-psychology,756,4.58
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,aprendiendo-programar-python,756,4.1
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,aws-fundamentals-going-cloud-native,754,4.41
Fundamentos de Excel para Negocios,Universidad Austral,excel-para-negocios,753,4.7
What is Social?,Northwestern University,what-is-social,752,4.52
Modern Art & Ideas,The Museum of Modern Art,modern-art-ideas,751,4.67
"Cameras, Exposure, and Photography",Michigan State University,exposure-photography,743,4.63
Blockchain Basics,University at Buffalo,blockchain-basics,739,4.33
People Analytics,University of Pennsylvania,wharton-people-analytics,736,4.45
Management of Fashion and Luxury Companies,Università Bocconi,mafash,736,4.65
How Google does Machine Learning,Google Cloud,google-machine-learning,727,4.36
Mastering Data Analysis in Excel,Duke University,analytics-excel,724,3.64
Budgeting and Scheduling Projects,"University of California, Irvine",schedule-projects,706,4.68
Operations Analytics,University of Pennsylvania,wharton-operations-analytics,696,4.6
Basic Statistics,University of Amsterdam,basic-statistics,695,4.52
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,python-plotting,695,4.24
Математика и Python для анализа данных,Moscow Institute of Physics and Technology,mathematics-and-python,694,4.56
Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,vital-signs,688,4.76
Oil & Gas Industry Operations and Markets,Duke University,oilandgas,687,4.74
Introduction to Corporate Finance,University of Pennsylvania,wharton-finance,685,4.37
English for Business and Entrepreneurship,University of Pennsylvania,business,683,4.81
Positive Psychology,The University of North Carolina at Chapel Hill,positive-psychology,681,4.58
Programming Fundamentals,Duke University,programming-fundamentals,677,4.45
Understanding Financial Markets,University of Geneva,understanding-financial-markets,668,4.63
Writing in the Sciences,Stanford University,sciwrite,667,4.85
Indigenous Canada,University of Alberta,indigenous-canada,660,4.66
Introduction to the Biology of Cancer,Johns Hopkins University,cancer,654,4.72
Introduction to User Experience Design,Georgia Institute of Technology,user-experience-design,650,4.4
Forensic Accounting and Fraud Examination,West Virginia University,forensic-accounting,649,4.63
Six Sigma Principles,University System of Georgia,six-sigma-principles,643,4.33
Introduction to Typography,California Institute of the Arts,typography,643,4.72
Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,epidemiology,637,4.57
Learn to Speak Korean 1,Yonsei University,learn-speak-korean1,629,4.82
Digital Transformation,BCG,bcg-uva-darden-digital-transformation,629,4.69
Construction Project Management,Columbia University,construction-project-management,627,4.7
Seeing Through Photographs,The Museum of Modern Art,photography,621,4.69
Marketing Analytics,University of Virginia,uva-darden-market-analytics,616,4.33
Strategic Management,Copenhagen Business School,strategic-management,612,4.74
Crash Course on Python,Google,python-crash-course,611,3.97
Inspiring and Motivating Individuals,University of Michigan,motivate-people-teams,604,4.79
